REGION_ID,YEAR,TECHNOLOGY,WEEK,HDInflow,Minimum Reservoir levels at beginning of each week ,Maximum Reservoir level at beginning of each week
1,2050,Hydro_Dam,1,238662,0.32,0.79
1,2050,Hydro_Dam,2,357057,0.306,0.772
1,2050,Hydro_Dam,3,445861,0.292,0.754
1,2050,Hydro_Dam,4,345826,0.278,0.736
1,2050,Hydro_Dam,5,327387,0.264,0.718
1,2050,Hydro_Dam,6,407976,0.25,0.7
1,2050,Hydro_Dam,7,507684,0.2325,0.6675
1,2050,Hydro_Dam,8,440151,0.215,0.635
1,2050,Hydro_Dam,9,423013,0.1975,0.6025
1,2050,Hydro_Dam,10,436533,0.18,0.57
1,2050,Hydro_Dam,11,395895,0.175,0.5675
1,2050,Hydro_Dam,12,379863,0.17,0.565
1,2050,Hydro_Dam,13,325997,0.165,0.5625
1,2050,Hydro_Dam,14,339951,0.16,0.56
1,2050,Hydro_Dam,15,354227,0.172,0.544
1,2050,Hydro_Dam,16,360801,0.184,0.528
1,2050,Hydro_Dam,17,323641,0.196,0.512
1,2050,Hydro_Dam,18,252732,0.208,0.496
1,2050,Hydro_Dam,19,260305,0.22,0.48
1,2050,Hydro_Dam,20,260806,0.2475,0.5375
1,2050,Hydro_Dam,21,232195,0.275,0.595
1,2050,Hydro_Dam,22,301344,0.3025,0.6525
1,2050,Hydro_Dam,23,361111,0.33,0.71
1,2050,Hydro_Dam,24,343169,0.395,0.735
1,2050,Hydro_Dam,25,370511,0.46,0.76
1,2050,Hydro_Dam,26,360449,0.525,0.785
1,2050,Hydro_Dam,27,325714,0.59,0.81
1,2050,Hydro_Dam,28,301648,0.6,0.822
1,2050,Hydro_Dam,29,272011,0.61,0.834
1,2050,Hydro_Dam,30,250870,0.62,0.846
1,2050,Hydro_Dam,31,236561,0.63,0.858
1,2050,Hydro_Dam,32,232261,0.64,0.87
1,2050,Hydro_Dam,33,239223,0.6375,0.8775
1,2050,Hydro_Dam,34,226046,0.635,0.885
1,2050,Hydro_Dam,35,228190,0.6325,0.8925
1,2050,Hydro_Dam,36,226426,0.63,0.9
1,2050,Hydro_Dam,37,222421,0.625,0.9
1,2050,Hydro_Dam,38,189824,0.62,0.9
1,2050,Hydro_Dam,39,209441,0.615,0.9
1,2050,Hydro_Dam,40,226164,0.61,0.9
