sce,annualcost(bn),capex,inv_gen,inv_stor,inv_grid,opexfix,fix_gen,fix_stor,fix_grid,opexvar,var_gen,var_stor,var_startup,var_co2,var_exchange,nuc(GW),CCGT_new(GW),OCGT_new(GW),pv_large(GW),pv_small(GW),onshore(GW),offshore(GW),ires(GW),hydro_ror(GW),hydro_dam(GW),phs_power(GW),phs_energy(GWh),ptg_power(GW),battery1_power(GW),battery1_energy(GWh),battery4_power(GW),battery4_energy(GWh),battery8_power(GW),battery8_energy(GWh),import(GW),export(GW),nucpro(TWh),pvlargepro(TWh),pvsmallpro(TWh),onshorepro(TWh),offshorepro(TWh),gasccgtpro(TWh),gasocgtpro(TWh),hydro_rorpro(TWh),hydro_dampro(TWh),phs_char(TWh),phs_disc(TWh),ptg_char(TWh),ptg_disc(TWh),battery1_char(TWh),battery1_disc(TWh),battery4_char(TWh),battery4_disc(TWh),battery8_char(TWh),battery8_disc(TWh),excess&loss(TWh),exchange(TWh),demand(TWh),nucper,resper,fossilper,emission(MT),totalemission(MT),averageshadowprice(euro/MWh)
opt1,24.37,12.01,11.94,0.07,0.0,8.04,7.95,0.09,0.0,4.01,4.01,0.0,0.0,0.32,0.0,46.6,4.4,20.1,4.3,0.0,39.7,0.0,44.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.8,5.1,0.0,91.9,0.0,9.4,5.8,41.7,16.7,-8.9,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,0.653,0.316,0.031,5.94,11.97,27.105619475029982
opt2,24.29,12.03,11.79,0.24,0.0,7.92,7.82,0.1,0.0,4.02,4.01,0.0,0.0,0.32,0.0,46.3,4.6,16.1,4.2,0.0,39.9,0.0,44.1,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.3,5.0,0.0,92.3,0.0,9.8,5.7,41.7,16.7,-7.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,0.652,0.316,0.031,6.03,11.97,27.09276082174925
opt1_uc,24.68,12.15,12.08,0.07,0.0,8.17,8.08,0.09,0.0,4.04,4.03,0.0,0.01,0.33,0.0,46.6,4.4,25.1,4.3,0.0,39.7,0.0,44.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4,5.1,0.0,91.9,0.0,9.7,6.0,41.7,16.7,-9.5,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,0.652,0.316,0.032,6.14,12.25,27.786490086476626
opt2_uc,24.56,12.16,11.92,0.24,0.0,8.05,7.94,0.1,0.0,4.03,4.02,0.0,0.01,0.32,0.0,46.3,4.6,20.9,4.2,0.0,39.9,0.0,44.1,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.2,5.0,0.0,92.3,0.0,9.9,5.7,41.7,16.7,-8.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,0.652,0.316,0.032,6.1,12.25,28.042064622363256
1,34.91,3.92,3.92,0.0,0.0,3.78,3.71,0.07,0.0,19.48,19.48,0.0,0.0,7.73,0.0,0.0,70.3,12.1,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.1,2.4,41.7,16.7,-1.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,-0.0,0.119,0.881,145.94,291.84,41.102623077551335
2,34.86,3.95,3.83,0.12,0.0,3.71,3.63,0.09,0.0,19.47,19.47,0.0,0.0,7.73,0.0,0.0,70.5,8.5,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.5,2.1,41.7,16.7,-1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,-0.0,0.119,0.881,145.89,291.84,41.10262307755128
1_uc,35.19,4.06,4.06,0.0,0.0,3.91,3.84,0.07,0.0,19.49,19.48,0.0,0.0,7.74,0.0,0.0,70.3,17.2,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,2.5,41.7,16.7,-1.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,-0.0,0.119,0.881,145.97,291.87,41.27022262018871
2_uc,35.02,4.03,3.91,0.12,0.0,3.78,3.7,0.09,0.0,19.48,19.47,0.0,0.0,7.73,0.0,0.0,70.5,11.3,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.4,2.1,41.7,16.7,-1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,-0.0,0.119,0.881,145.9,291.87,41.08589055746491
1,30.64,7.82,7.82,0.0,0.0,4.93,4.86,0.07,0.0,12.8,12.8,0.0,0.0,5.09,0.0,0.0,50.3,28.7,0.0,0.0,0.0,40.0,40.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.7,275.4,6.8,41.7,16.7,-3.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,-0.0,0.426,0.574,95.95,191.89,41.078886436937985
2,30.55,7.87,7.65,0.22,0.0,4.79,4.7,0.09,0.0,12.8,12.8,0.0,0.0,5.08,0.0,0.0,50.1,22.9,0.0,0.0,0.0,40.0,40.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.7,275.6,6.6,41.7,16.7,-2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,-0.0,0.426,0.574,95.94,191.89,41.09471086401431
